ID,Name,Surname,Maths,Science,English,History,Geography,Total
153,Raghav,Roy,27,23,3,36,48,137
155,Pranav,Ghosh,0,11,24,48,29,112
156,Aryan,Rao,45,11,17,20,24,117
157,Anay,Bose,1,8,24,38,32,103
158,Muhammad,Sen,30,21,6,14,34,105
159,Ansh,Verma,0,11,31,32,49,123
160,Ishaan,Trivedi,12,28,25,35,10,110
162,Krishna,Jain,2,21,13,35,20,91
163,Shaurya,Bose,44,2,42,15,11,114
164,Muhammad,Verma,9,40,9,6,21,85
165,Anay,Trivedi,1,15,11,2,9,38
166,Shivansh,Das,34,14,30,33,9,120
167,Vivaan,Saxena,15,16,40,19,14,104
168,Ishaan,Chopra,46,16,10,29,42,143
169,Muhammad,Mehta,26,9,11,1,3,50
170,Muhammad,Agarwal,13,11,23,41,22,110
171,Vihaan,Chatterjee,3,20,19,34,16,92
172,Krishna,Mehta,4,32,50,43,1,130
173,Sai,Chopra,47,35,46,11,50,189
174,Shaurya,Roy,48,3,9,26,29,115
175,Dhruv,Joshi,22,1,28,46,12,109
176,Aryan,Ghosh,47,17,6,27,29,126
177,Raghav,Patel,29,19,48,12,8,116
178,Aarav,Malhotra,37,11,16,39,27,130
180,Atharv,Iyer,38,38,1,31,25,133
181,Muhammad,Kumar,32,15,35,12,14,108
182,Vivaan,Iyer,15,39,10,34,22,120
183,Aarush,Sharma,20,6,48,35,34,143
184,Aryan,Jain,14,7,5,4,30,60
186,Aditya,Mehta,38,12,24,20,29,123
187,Atharv,Sharma,32,30,5,46,16,129
188,Aarav,Patel,0,47,14,13,17,91
189,Aryan,Chatterjee,37,6,21,16,0,80
190,Anay,Saxena,13,38,7,47,47,152
191,Raghav,Joshi,13,9,14,6,50,92
193,Rudra,Singh,34,6,34,3,39,116
194,Aditya,Rao,7,17,8,15,33,80
195,Aryan,Sen,24,9,45,3,28,109
196,Vivaan,Chopra,3,30,7,31,29,100
197,Reyansh,Patel,0,15,47,44,47,153
198,Om,Agarwal,7,8,4,35,33,87
199,Rudra,Choudhary,37,26,4,20,32,119
200,Aditya,Chatterjee,40,13,9,27,9,98
