ID,Name,Surname,Maths,Science,English,History,Geography
151,Dhruv,Gupta,37,16,43,13,44
152,Raghav,Kumar,33,41,41,18,47
153,Raghav,Roy,27,23,3,36,48
154,Aditya,Dutta,19,26,31,41,17
155,Pranav,Ghosh,0,11,24,48,29
156,Aryan,Rao,45,11,17,20,24
157,Anay,Bose,1,8,24,38,32
158,Muhammad,Sen,30,21,6,14,34
159,Ansh,Verma,0,11,31,32,49
160,Ishaan,Trivedi,12,28,25,35,10
161,Ansh,Saxena,16,15,23,28,43
162,Krishna,Jain,2,21,13,35,20
163,Shaurya,Bose,44,2,42,15,11
164,Muhammad,Verma,9,40,9,6,21
165,Anay,Trivedi,1,15,11,2,9
166,Shivansh,Das,34,14,30,33,9
167,Vivaan,Saxena,15,16,40,19,14
168,Ishaan,Chopra,46,16,10,29,42
169,Muhammad,Mehta,26,9,11,1,3
170,Muhammad,Agarwal,13,11,23,41,22
171,Vihaan,Chatterjee,3,20,19,34,16
172,Krishna,Mehta,4,32,50,43,1
173,Sai,Chopra,47,35,46,11,50
174,Shaurya,Roy,48,3,9,26,29
175,Dhruv,Joshi,22,1,28,46,12
176,Aryan,Ghosh,47,17,6,27,29
177,Raghav,Patel,29,19,48,12,8
178,Aarav,Malhotra,37,11,16,39,27
179,Shaurya,Bose,38,23,20,32,21
180,Atharv,Iyer,38,38,1,31,25
181,Muhammad,Kumar,32,15,35,12,14
182,Vivaan,Iyer,15,39,10,34,22
183,Aarush,Sharma,20,6,48,35,34
184,Aryan,Jain,14,7,5,4,30
185,Dhruv,Verma,49,34,44,27,34
186,Aditya,Mehta,38,12,24,20,29
187,Atharv,Sharma,32,30,5,46,16
188,Aarav,Patel,0,47,14,13,17
189,Aryan,Chatterjee,37,6,21,16,0
190,Anay,Saxena,13,38,7,47,47
191,Raghav,Joshi,13,9,14,6,50
192,Vihaan,Trivedi,33,48,30,26,36
193,Rudra,Singh,34,6,34,3,39
194,Aditya,Rao,7,17,8,15,33
195,Aryan,Sen,24,9,45,3,28
196,Vivaan,Chopra,3,30,7,31,29
197,Reyansh,Patel,0,15,47,44,47
198,Om,Agarwal,7,8,4,35,33
199,Rudra,Choudhary,37,26,4,20,32
200,Aditya,Chatterjee,40,13,9,27,9
